premise,answer1,answer2,asks-for,response,gold
Oceanska plima bila je opasna.,Plivači su nanijeli više kreme za sunčanje.,Plivači su se vratili prema obali.,,,
The woman refused a second beer.,She was the designated driver for the night.,She was familiar with the bartender.,cause,,1
Žena je odbila drugo pivo.,Bila je dežurna vozačica te večeri.,Poznavala je konobara.,,,
I ran out of breath.,I climbed several flights of stairs.,I read several chapters of the book.,cause,,1
Ostao sam bez daha.,Popeo sam se po nekoliko katova stepenica.,Pročitao sam nekoliko poglavlja knjige.,,,
The woman was deemed mentally ill.,She was sent to a psychiatric institution.,She sought a career as a psychiatrist.,effect,,1
Žena je proglašena psihički bolesnom.,Poslana je u psihijatrijsku ustanovu.,Željela je postati psihijatrica.,,,
The sun emerged from the clouds.,The woman glanced at her watch.,The woman took her sweater off.,effect,,2
Sunce je izbilo iza oblaka.,Žena je pogledala na sat.,Žena je skinula svoju vestu.,,,
The football coach lost his voice after the game.,He yelled whenever a player fumbled the ball.,He whistled whenever a player scored a touchdown.,cause,,1
Nogometni je trener izgubio glas nakon utakmice.,Vikao je svaki put kad bi igrač izgubio loptu.,Zviždao je svaki put kad bi igrač postigao zgoditak.,,,
The woman complimented the man.,He sneezed.,He blushed.,effect,,2
Žena je dala kompliment muškarcu.,Kihnuo je.,Zacrvenio se.,,,
I applied pressure to the cut on my arm.,It healed.,It stopped bleeding.,effect,,2
Pritisnuo sam porezotinu na svojoj ruci.,Zacijelila je.,Prestala je krvariti.,,,
The woman had an infection.,She took antibiotics.,She washed her hands.,effect,,1
Žena je imala infekciju.,Popila je antibiotike.,Oprala je ruke.,,,
The woman was summoned for jury duty.,She contacted her lawyer.,She cancelled her appointments.,effect,,2
Žena je pozvana da bude u poroti.,Kontaktirala je sa svojim odvjetnikom.,Otkazala je svoje obaveze.,,,
The woman fanned herself with her hand.,She installed the air conditioner in the room.,The air conditioner in the room broke.,cause,,2
Žena se hladila rukom.,Postavila je klima-uređaj u svoju sobu.,Klima-uređaj u sobi se pokvario.,,,
The doctors amputated the patient's leg.,It was badly bruised.,It was severely infected.,cause,,2
Liječnici su amputirali pacijentovu nogu.,Bila je gadno natučena.,Bila je teško inficirana.,,,
The girl stared at herself in the mirror.,She felt self-conscious.,The mirror was smudged.,cause,,1
Djevojka je zurila u sebe u ogledalu.,Osjećala se nesigurno.,Ogledalo je bilo zamrljano.,,,
The man was bitten by mosquitoes.,He went camping in the woods.,He fell asleep on his couch.,cause,,1
Muškarca su izgrizli komarci.,Otišao je kampirati u šumi.,Zaspao je na svojem dvosjedu.,,,
The woman presented her brother with a gift.,Her brother refused to accept the gift.,Her brother unwrapped the gift.,effect,,2
Žena je podarila svojem bratu poklon.,Njezin brat nije htio prihvatiti poklon.,Njezin je brat odmotao poklon.,,,
The administrator cleared her throat.,The meeting was postponed.,The meeting commenced.,effect,,2
Upraviteljica je pročistila grlo.,Sastanak je odgođen.,Sastanak je počeo.,,,
The children ran through the sprinkler.,They ate popsicles.,They were hot.,cause,,2
Djeca su protrčala kroz prskalicu.,Pojela su sladolede.,Bilo im je vruće.,,,
The man needed coins to fill the parking meter.,He searched under his car seats for loose change.,He begged people on the street for loose change.,effect,,1
Muškarcu su trebale kovanice da napuni parkirališni sat.,Potražio je sitniš ispod sjedala svojeg automobila.,Moljakao je ljude na ulici za sitniš.,,,
The customer thought the souvenir was overpriced.,The vender sold it to him.,He bargained with the vendor.,effect,,2
Kupac je mislio da je suvenir precijenjen.,Trgovac mu ga je prodao.,Cjenkao se s trgovcem.,,,
The scientist gained recognition.,She discovered a new species.,She received tenure at the university.,cause,,1
Znanstvenica je stekla priznanje.,Otkrila je novu vrstu.,Dobila je stalnu poziciju na fakultetu.,,,
The car stopped at the crosswalk.,The pedestrian crossed the road.,The pedestrian waited on the sidewalk.,effect,,1
Automobil se zaustavio na pješačkom prijelazu.,Pješak je prešao cestu.,Pješak je čekao na pločniku.,,,
The boy giggled uncontrollably.,His brother tickled him.,His brother kicked him.,cause,,1
Dječak se nekontrolirano hihotao.,Njegov ga je brat škakljao.,Njegov ga je brat udario nogom.,,,
My knees buckled on the stairs.,I caught myself on the railing.,The railing came loose from the wall.,effect,,1
Koljena su mi zaklecala na stepenicama.,Uhvatio sam se za rukohvat.,Rukohvat se odvojio od zida.,,,
I went to bed.,It was a clear night.,It was late.,cause,,2
Otišao sam u krevet.,Noć je bila vedra.,Bilo je kasno.,,,
My friend was recovering from surgery.,I dropped her off at the hospital.,I brought her a card and flowers.,effect,,2
Moja se prijateljica oporavljala od operacije.,Ostavio sam je u bolnici.,Donio sam joj čestitku i cvijeće.,,,
The DJ turned the music on.,People left the party.,People began to dance.,effect,,2
DJ je pustio glazbu.,Ljudi su otišli sa zabave.,Ljudi su počeli plesati.,,,
The security guard replayed the surveillance footage.,The surveillance camera was out of focus.,He noticed some suspicious activity.,cause,,2
Zaštitar je premotavao nadzorne snimke.,Nadzorna je kamera bila nefokusirana.,Primijetio je neke sumnjive aktivnosti.,,,
I lingered in bed upon awakening.,I was hungry.,It was Saturday.,cause,,2
Zadržao sam se u krevetu nakon buđenja.,Bio sam gladan.,Bila je subota.,,,
The man lifted the heavy box.,He put out his back.,He scratched his back.,effect,,1
Muškarac je podigao tešku kutiju.,Istegnuo si je leđa.,Počešao se po leđima.,,,
The woman's purse was missing.,It contained a lot of junk.,She left it unsupervised.,cause,,2
Ženina je torbica nestala.,Sadržavala je mnogo smeća.,Ostavila ju je bez nadzora.,,,
The woman suffered amnesia.,She had an allergic reaction.,She got into a car accident.,cause,,2
Žena je bolovala od amnezije.,Imala je alergijsku reakciju.,Imala je automobilsku nesreću.,,,
I needed to get cash.,I went to the bank.,I bought a wallet.,effect,,1
Trebala mi je gotovina.,Otišao sam u banku.,Kupio sam novčanik.,,,
The rider fell to the ground.,The bull bucked the rider.,The bull chased the rider.,cause,,1
Jahač je pao na zemlju.,Bik je zbacio jahača.,Bik je lovio jahača.,,,
The boy wanted to be muscular.,He lifted weights.,He played computer games.,effect,,1
Dječak je htio biti mišićav.,Dizao je utege.,Igrao je računalne igre.,,,
The scientist conducted an experiment.,She validated her theory.,She fabricated her data.,effect,,1
Znanstvenica je provela eksperiment.,Potvrdila je svoju teoriju.,Izmislila je podatke.,,,
The milk stayed cold.,It was pasteurized.,I stored it in the refrigerator.,cause,,2
Mlijeko je ostalo hladno.,Bilo je pasterizirano.,Spremio sam ga u hladnjak.,,,
The fussy baby calmed down.,The parents shook a rattle in front of the baby.,The parents picked out a name for the baby.,cause,,1
Nemirna beba se smirila.,Roditelji su mahali zvečkom ispred bebe.,Roditelji su odabrali ime za bebu.,,,
I put ice cubes in the hot soup.,The soup cooled down.,The soup became thick.,effect,,1
Stavio sam kocke leda u vruću juhu.,Juha se ohladila.,Juha se zgusnula.,,,
The girl shared her lunch with her friend.,Her friend forgot to bring his lunch.,Her friend sat next to her at lunch.,cause,,1
Djevojka je podijelila svoj ručak sa svojim prijateljem.,Njezin je prijatelj zaboravio ponijeti svoj ručak.,Njezin je prijatelj sjedio uz nju za ručkom.,,,
The police closed the investigation.,They apprehended the suspect.,The victim recovered.,cause,,1
Policija je zatvorila istragu.,Uhitila je osumnjičenika.,Žrtva se oporavila.,,,
The rain subsided.,I went for a walk.,I browsed the internet.,effect,,1
Kiša je prestala.,Otišao sam u šetnju.,Pretraživao sam internet.,,,
The cup of tea was scalding hot.,I blew on it.,I poured it out.,effect,,1
Šalica čaja bila je kipuća.,Puhao sam u nju.,Izlio sam je.,,,
The photograph faded.,It was fake.,It was old.,cause,,2
Fotografija je izblijedjela.,Bila je lažna.,Bila je stara.,,,
The boy got a black eye.,The bully mocked the boy.,The bully punched the boy.,cause,,2
Dječak je dobio modricu na oku.,Nasilnik se rugao dječaku.,Nasilnik je udario dječaka.,,,
I misplaced my wallet.,I retrieved my phone.,I retraced my steps.,effect,,2
Zametnuo sam svoj novčanik.,Izvadio sam svoj telefon.,Prisjetio sam se kuda sam se kretao.,,,
The hunter ran out of ammunition.,He reloaded the gun.,He aimed at the deer.,effect,,1
Lovcu je ponestalo streljiva.,Napunio je pušku.,Naciljao je jelena.,,,
Marine life diminished.,Boats sailed through the ocean.,Oil spilled into the ocean.,cause,,2
Morski je život osiromašio.,Brodovi su plovili oceanom.,Nafta se izlila u ocean.,,,
I ran the ice cube under warm water.,The ice cube stuck to my fingers.,The ice cube vanished.,effect,,2
Stavio sam kocku leda pod vruću vodu.,Kocka leda zalijepila mi se za prste.,Kocka leda je nestala.,,,
The customer came into the boutique.,She left her wallet at home.,The window display caught her eye.,cause,,2
Mušterija je ušla u butik.,Zaboravila je novčanik kod kuće.,Izlog joj je zapeo za oko.,,,
The man drank water with his meal.,His meal was cold.,His meal was spicy.,cause,,2
Muškarac je pio vodu uz jelo.,Jelo mu je bilo hladno.,Jelo mu je bilo ljuto.,,,
The woman stayed away from public places.,She was contagious.,She was intoxicated.,cause,,1
Žena je izbjegavala javna mjesta.,Bila je zarazna.,Bila je pijana.,,,
The putrid odor filled the room.,I clamped my hand over my nose.,I put the rubber gloves on.,effect,,1
Truli smrad ispunio je sobu.,Stavio sam ruku preko nosa.,Navukao sam gumene rukavice.,,,
The employee missed work.,Her family got in touch with her.,There was a death in her family.,cause,,2
Zaposlenica je izostala s posla.,Njezina je obitelj stupila u kontakt s njom.,Imala je smrt u obitelji.,,,
The magnet attracted the paperclip.,The paperclip dropped from the magnet.,The paperclip stuck to the magnet.,effect,,2
Magnet je privukao spajalicu.,Spajalica je pala s magneta.,Spajalica se primila za magnet.,,,
The gardener pulled the weeds.,The weeds came out of the soil.,The weeds produced seeds.,effect,,1
Vrtlar je iščupao korov.,Korov je izašao iz zemlje.,Korov je proizveo sjeme.,,,
We ordered a pizza.,The pizza was delivered.,The pizza got cold.,effect,,1
Naručili smo pizzu.,Pizza je dostavljena.,Pizza se ohladila.,,,
The teenager grew taller than his father.,He went through a growth spurt.,He joined the basketball team.,cause,,1
Tinejdžer je izrastao viši od svojeg oca.,Naglo je izrastao.,Priključio se košarkaškoj ekipi.,,,
The patient underwent the risky medical procedure.,The procedure was costly.,Specialists recommended the procedure.,cause,,2
Pacijent je podvrgnut rizičnom medicinskom zahvatu.,Zahvat je bio skup.,Specijalisti su preporučili taj zahvat.,,,
The man caught his shirtsleeve on the rungs of the fence.,He hopped the fence.,The sleeve ripped.,effect,,2
Muškarcu je rukav košulje zapeo za prečke ograde.,Preskočio je ogradu.,Rukav se poderao.,,,
The investigators deemed the man's death a suicide.,He left a note.,He had children.,cause,,1
Istražitelji su proglasili muškarčevu smrt samoubojstvom.,Ostavio je poruku.,Imao je djecu.,,,
The computer crashed.,I backed up my files.,I downloaded a virus.,cause,,2
Računalo se srušilo.,Napravio sam sigurnosnu kopiju svojih datoteka.,Preuzeo sam virus.,,,
The girl's mouth ached.,She lost a tooth.,She swallowed her gum.,cause,,1
Djevojku su boljela usta.,Izgubila je zub.,Progutala je žvakaću gumu.,,,
The room was dim.,I opened the blinds.,I washed the windows.,effect,,1
Soba je bila mračna.,Podigao sam rolete.,Oprao sam prozore.,,,
The father put his daughter in her stroller.,She learned to walk.,He was tired of carrying her.,cause,,2
Otac je stavio svoju kćer u kolica.,Naučila je hodati.,Umorio se od nošenja kćeri.,,,
The spy discovered the enemy's location.,The spy bugged the enemy's phone.,The spy was hired by the government.,cause,,1
Špijun je otkrio lokaciju neprijatelja.,Špijun je prisluškivao neprijateljev telefon.,Špijuna je angažirala vlada.,,,
The glasses on the table spilled.,The child drew on the table.,The child yanked the tablecloth.,cause,,2
Čaše na stolu prolile su se.,Dijete je crtalo po stolu.,Dijete je povuklo stolnjak.,,,
The water in the teapot started to boil.,The teapot cooled.,The teapot whistled.,effect,,2
Voda u čajniku počela je kuhati.,Čajnik se ohladio.,Čajnik je zviždao.,,,
The city re-elected the mayor.,The city cut its budget.,The mayor fulfilled his promises.,cause,,2
Grad je ponovno izabrao gradonačelnika.,Grad je smanjio svoj budžet.,Gradonačelnik je ispunio svoja obećanja.,,,
The woman exaggerated the details of the story.,She wanted attention.,She felt shy.,cause,,1
Žena je preuveličavala pojedinosti u priči.,Htjela je pozornost.,Osjećala se sramežljivo.,,,
The woman hit a midlife crisis.,She retired.,She went sky diving.,effect,,2
Žena je upala u krizu srednjih godina.,Otišla je u mirovinu.,Otišla je skakati s padobranom.,,,
The man went into denial about the tragedy.,He got over it easily.,He refused to talk about it.,effect,,2
Muškarac je poricao tragediju.,Lako ju je prebrodio.,Nije htio govoriti o njoj.,,,
The man grieved.,His wife criticized him.,His mother passed away.,cause,,2
Muškarac je žalovao.,Njegova ga je žena kritizirala.,Njegova je majka preminula.,,,
The girl had a phobia of dogs.,She rescued an abandoned dog.,She was bitten by a dog.,cause,,2
Djevojka je imala fobiju od pasa.,Spasila je napuštenog psa.,Ugrizao ju je pas.,,,
I made a resolution to eat a healthy diet.,I attended a yoga class.,I bought fruits and vegetables.,effect,,2
Odlučio sam hraniti se zdravo.,Otišao sam na sat joge.,Kupio sam voće i povrće.,,,
The patient went into a coma.,He suffered emotional trauma.,He suffered brain damage.,cause,,2
Pacijent je pao u komu.,Pretrpio je emocionalnu traumu.,Pretrpio je oštećenje mozga.,,,
The friends' dinnertime conversation turned to politics.,The conversation quieted down.,A debate erupted.,effect,,2
Razgovor uz večeru među prijateljima okrenuo se na politiku.,Razgovor se stišao.,Izbila je rasprava.,,,
The woman spotted her friend from across the room.,The woman waved.,The woman escaped.,cause,,1
Žena je primijetila svojeg prijatelja s druge strane prostorije.,Žena je mahnula.,Žena je pobjegla.,,,
The mother needed help looking after her children.,She sent the children to daycare.,She gave up custody of the children.,effect,,1
Majka je trebala pomoć s čuvanjem djece.,Poslala je djecu u vrtić.,Odrekla se skrbništva nad djecom.,,,
The driver honked her horn.,Another car swerved into her lane.,She made a right turn at the light.,cause,,1
Vozačica je pritisnula trubu.,Drugi je automobil naglo skrenuo u njezinu traku.,Skrenula je desno na semaforu.,,,
The man wanted to save money.,He withdrew money from his savings account.,He cut back on making frivolous purchases.,effect,,2
Muškarac je htio uštedjeti novac.,Podigao je novac sa štednog računa.,Smanjio je lakomisleno kupovanje.,,,
I put shoes on.,The floor contained broken glass.,The paint on the walls was wet.,cause,,1
Obuo sam cipele.,Na podu je bilo razbijeno staklo.,Boja na zidovima bila je mokra.,,,
The librarian located the book in the stacks.,I requested the librarian's help.,The book was checked out.,cause,,1
Knjižničar je pronašao knjigu na polici.,Pitao sam knjižničara za pomoć.,Knjiga je bila posuđena.,,,
The mother became eye level with her son.,She squatted down.,She held his hand.,cause,,1
Majka je došla u visinu očiju sa svojim sinom.,Čučnula je.,Primila ga je za ruku. ,,,
I packed up my belongings.,I was hunting for a new apartment.,I was moving out of my apartment.,cause,,2
Spakirao sam svoje stvari.,Tražio sam novi stan.,Iseljavao sam se iz svojeg stana.,,,
The boy mimicked his older brother.,The boy looked up to his older brother.,The boy wrestled with his older brother.,cause,,1
Dječak je oponašao svojeg starijeg brata.,Dječak se ugledao u svojeg starijeg brata.,Dječak se hrvao sa svojim starijim bratom.,,,
The girl desired her parent's approval.,She ran away from home.,She obeyed her parent's rules.,effect,,2
Djevojka je željela odobravanje svojih roditelja.,Pobjegla je od kuće.,Poštivala je pravila svojih roditelja.,,,
The truck crashed into the motorcycle on the bridge.,The motorcyclist died.,The bridge collapsed.,effect,,1
Kamion se sudario s motociklom na mostu.,Motociklist je poginuo.,Most se srušio.,,,
The retail shop shut down.,Its sales were lagging.,It renewed its lease.,cause,,1
Maloprodajna trgovina se zatvorila.,Prodaja joj je bila slaba.,Produžila je najam.,,,
The swimmer won the race.,She received a gold medal.,Her team lost the meet.,effect,,1
Plivačica je pobijedila u utrci.,Osvojila je zlatnu medalju.,Njezina je ekipa izgubila utrku.,,,
Air pollution in the city worsened.,Factories increased their production.,Factories shut down.,cause,,1
Zagađenje zraka u gradu pogoršalo se.,Tvornice su povećale proizvodnju.,Tvornice su se zatvorile.,,,
The mother scolded her daughter.,Her daughter burped at the kitchen table.,Her daughter set the kitchen table.,cause,,1
Majka je prekorila svoju kćer.,Kći je podrignula za kuhinjskim stolom.,Kći je postavila kuhinjski stol.,,,
I excused myself from the group.,I turned off my phone.,My phone rang.,cause,,2
Udaljio sam se od skupine.,Isključio sam svoj mobitel.,Zvonio mi je mobitel.,,,
The skier slipped on the slope.,She dropped her ski poles.,She hit a patch of ice.,cause,,2
Skijašica se poskliznula na skijalištu.,Ispali su joj skijaški štapovi.,Naišla je na poledicu.,,,
The print on the brochure was tiny.,The man put his glasses on.,The man retrieved a pen from his pocket.,effect,,1
Slova na brošuri bila su sitna.,Muškarac si je stavio naočale.,Muškarac je izvadio kemijsku olovku iz džepa.,,,
I flipped the light switch up and down.,The light faded.,The light flickered.,effect,,2
Dizao sam i spuštao prekidač za svjetlo.,Svjetlo se polako ugasilo.,Svjetlo je treperilo.,,,
The man's watch was broken.,He waited at the bus stop.,He asked a stranger for the time.,effect,,2
Muškarčev sat bio je pokvaren.,Čekao je na autobusnoj postaji.,Pitao je stranca koliko je sati.,,,
The soldiers were concealed in the brush.,They were armed with rifles.,They wore camouflage uniforms.,cause,,2
Vojnici su bili skriveni u grmlju.,Bili su naoružani puškama.,Nosili su maskirne uniforme.,,,
